year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,10,AS,Alaska Airlines Network,PHL,"Philadelphia, PA: Philadelphia International",31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,1,UA,United Air Lines Network,HNL,"Honolulu, HI: Daniel K Inouye International",400.0,48.0,27.32,0.42,5.92,0.0,14.34,3.0,4.0,4165.0,1861.0,59.0,488.0,0.0,1757.0
2006,3,CO,Continental Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",7555.0,1794.0,278.05,22.84,877.67,4.82,610.63,9.0,11.0,77750.0,16590.0,1615.0,27639.0,186.0,31720.0
2021,5,MQ,Envoy Air,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",54.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,151.0,75.0,0.0,0.0,0.0,76.0
2004,4,FL,AirTran Airways Corporation,MCI,"Kansas City, MO: Kansas City International",90.0,14.0,2.46,1.0,1.41,0.0,9.13,2.0,0.0,615.0,66.0,117.0,39.0,0.0,393.0
2006,8,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",93.0,17.0,5.53,1.32,4.2,0.37,5.58,1.0,0.0,802.0,218.0,111.0,193.0,7.0,273.0
2018,1,YX,Republic Airline,ILM,"Wilmington, NC: Wilmington International",6.0,1.0,0.49,0.0,0.03,0.0,0.48,2.0,0.0,67.0,33.0,0.0,2.0,0.0,32.0
2017,10,OO,SkyWest Airlines Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",170.0,34.0,12.49,0.29,5.68,0.0,15.54,3.0,2.0,2633.0,1086.0,27.0,275.0,0.0,1245.0
2020,5,YV,Mesa Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",64.0,9.0,5.5,0.0,3.5,0.0,0.0,2.0,1.0,323.0,186.0,0.0,137.0,0.0,0.0
2022,10,NK,Spirit Airlines,LAX,"Los Angeles, CA: Los Angeles International",989.0,129.0,55.41,2.63,50.59,1.0,19.37,17.0,0.0,9512.0,5155.0,720.0,2531.0,23.0,1083.0
2008,8,MQ,American Eagle Airlines Inc.,PIA,"Peoria, IL: General Downing - Peoria International",209.0,31.0,14.86,2.52,4.84,0.0,8.78,4.0,0.0,1254.0,643.0,74.0,226.0,0.0,311.0
2005,7,EV,Atlantic Southeast Airlines,MDT,"Harrisburg, PA: Harrisburg International",168.0,67.0,28.47,20.14,9.12,0.0,9.27,4.0,0.0,4055.0,1410.0,1559.0,446.0,0.0,640.0
